dyad,proposer,responder,proposer_left,proposer_right,condition,type_trial,session,offer,offer_left,offer_right,experience_proposer
RST,Tai,Sandra,,Tai,cons_left,second,15,0.1875,,0.1875,2
SAT,Azibo,Tai,,Azibo,cons_left,second,7,0.25,,0.25,2
SAT,Azibo,Tai,,Azibo,cons_left,second,11,0.5,,0.5,2
SAT,Sandra,Tai,,Sandra,cons_left,second,1,0.3125,,0.3125,2
SAT,Sandra,Tai,,Sandra,cons_left,second,5,0.375,,0.375,2
TSF,Sandra,Frodo,,Sandra,cons_left,second,9,0.25,,0.25,1
TSF,Sandra,Frodo,,Sandra,cons_left,second,13,0.3125,,0.3125,1
TSF,Tai,Frodo,,Tai,cons_left,second,3,0,,0,1
TSF,Tai,Frodo,,Tai,cons_left,second,7,0.125,,0.125,1
AFT,Frodo,Azibo,Frodo,,cons_right,second,4,0.3125,0.3125,,2
AFT,Frodo,Azibo,Frodo,,cons_right,second,8,0.75,0.75,,2
AFT,Tai,Azibo,Tai,,cons_right,second,2,0.8125,0.8125,,3
AFT,Tai,Azibo,Tai,,cons_right,second,14,0.0625,0.0625,,3
ARD,Azibo,Dorien,Azibo,,cons_right,second,2,0.375,0.375,,1
ARD,Azibo,Dorien,Azibo,,cons_right,second,6,0,0,,1
ARD,Riet,Dorien,Riet,,cons_right,second,12,0.0625,0.0625,,1
FRS,Frodo,Shanga,Frodo,,cons_right,second,6,0.625,0.625,,1
FRS,Frodo,Shanga,Frodo,,cons_right,second,10,0.5625,0.5625,,1
FRS,Riet,Shanga,Riet,,cons_right,second,4,0.4375,0.4375,,2
FRS,Riet,Shanga,Riet,,cons_right,second,16,0.3125,0.3125,,2
FSR,Frodo,Riet,Frodo,,cons_right,second,1,0.4375,0.4375,,3
FSR,Frodo,Riet,Frodo,,cons_right,second,13,0.75,0.75,,3
FSR,Sandra,Riet,Sandra,,cons_right,second,3,0.25,0.25,,3
FSR,Sandra,Riet,Sandra,,cons_right,second,7,0.5,0.5,,3
RST,Riet,Sandra,Riet,,cons_right,second,3,0.25,0.25,,3
RST,Riet,Sandra,Riet,,cons_right,second,15,0.875,0.875,,3
RST,Tai,Sandra,Tai,,cons_right,second,5,0.4375,0.4375,,2
RST,Tai,Sandra,Tai,,cons_right,second,9,0.8125,0.8125,,2
SAT,Azibo,Tai,Azibo,,cons_right,second,1,0.25,0.25,,2
SAT,Azibo,Tai,Azibo,,cons_right,second,5,0.375,0.375,,2
SAT,Sandra,Tai,Sandra,,cons_right,second,7,0.375,0.375,,2
SAT,Sandra,Tai,Sandra,,cons_right,second,11,0.4375,0.4375,,2
TSF,Sandra,Frodo,Sandra,,cons_right,second,3,0.125,0.125,,1
TSF,Sandra,Frodo,Sandra,,cons_right,second,7,0.0625,0.0625,,1
TSF,Tai,Frodo,Tai,,cons_right,second,9,0.0625,0.0625,,1
TSF,Tai,Frodo,Tai,,cons_right,second,13,0.375,0.375,,1
